metric,x_label,x_value,accrual_months,total_n
binary_cure_flag,absolute_lift_pp,9.767,8.7245,
binary_cure_flag,absolute_lift_pp,9.849,8.5798,
binary_cure_flag,absolute_lift_pp,9.931,8.4387,
binary_cure_flag,absolute_lift_pp,10.013,8.3010,
binary_cure_flag,absolute_lift_pp,10.094,8.1666,
binary_cure_flag,absolute_lift_pp,10.176,8.0354,
binary_cure_flag,absolute_lift_pp,10.258,7.9074,
binary_cure_flag,absolute_lift_pp,10.340,7.7823,
binary_cure_flag,absolute_lift_pp,10.421,7.6602,
binary_cure_flag,absolute_lift_pp,10.503,7.5409,
binary_cure_flag,absolute_lift_pp,10.585,7.4244,
binary_cure_flag,absolute_lift_pp,10.667,7.3105,
binary_cure_flag,absolute_lift_pp,10.748,7.1992,
binary_cure_flag,absolute_lift_pp,10.830,7.0904,
binary_cure_flag,absolute_lift_pp,10.912,6.9840,
binary_cure_flag,absolute_lift_pp,10.994,6.8800,
binary_cure_flag,absolute_lift_pp,11.075,6.7783,
binary_cure_flag,absolute_lift_pp,11.157,6.6788,
binary_cure_flag,absolute_lift_pp,11.239,6.5814,
binary_cure_flag,absolute_lift_pp,11.321,6.4861,
binary_cure_flag,absolute_lift_pp,11.403,6.3929,
binary_cure_flag,absolute_lift_pp,11.484,6.3017,
binary_cure_flag,absolute_lift_pp,11.566,6.2123,
binary_cure_flag,absolute_lift_pp,11.648,6.1249,
binary_cure_flag,absolute_lift_pp,11.730,6.0392,
binary_cure_flag,absolute_lift_pp,11.811,5.9553,
binary_cure_flag,absolute_lift_pp,11.893,5.8732,
binary_cure_flag,absolute_lift_pp,11.975,5.7927,
binary_cure_flag,absolute_lift_pp,12.057,5.7138,
binary_cure_flag,absolute_lift_pp,12.138,5.6365,
binary_cure_flag,absolute_lift_pp,12.220,5.5608,
binary_cure_flag,absolute_lift_pp,12.302,5.4865,
binary_cure_flag,absolute_lift_pp,12.384,5.4137,
binary_cure_flag,absolute_lift_pp,12.465,5.3424,
binary_cure_flag,absolute_lift_pp,12.547,5.2724,
binary_cure_flag,absolute_lift_pp,12.629,5.2037,
binary_cure_flag,absolute_lift_pp,12.711,5.1364,
binary_cure_flag,absolute_lift_pp,12.792,5.0704,
binary_cure_flag,absolute_lift_pp,12.874,5.0056,
binary_cure_flag,absolute_lift_pp,12.956,4.9420,
binary_cure_flag,absolute_lift_pp,13.038,4.8796,
binary_cure_flag,absolute_lift_pp,13.119,4.8184,
binary_cure_flag,absolute_lift_pp,13.201,4.7583,
binary_cure_flag,absolute_lift_pp,13.283,4.6993,
binary_cure_flag,absolute_lift_pp,13.365,4.6414,
binary_cure_flag,absolute_lift_pp,13.447,4.5845,
binary_cure_flag,absolute_lift_pp,13.528,4.5287,
binary_cure_flag,absolute_lift_pp,13.610,4.4738,
binary_cure_flag,absolute_lift_pp,13.692,4.4199,
binary_cure_flag,absolute_lift_pp,13.774,4.3670,
binary_cure_flag,absolute_lift_pp,13.855,4.3150,
binary_cure_flag,absolute_lift_pp,13.937,4.2639,
